,skill
0,confidentiality
1,compensation and benefits strategies
2,creativity
3,safety procedures
4,filing
5,Pre-employment Testing
6,status reporting
7,Microsoft Certified Solutions Associate (MCSA)
8,C#
9,Risk Management Framework (RMF)
10,Network Architecture
11,Microsoft BI Stack
12,MDX
13,Microsoft Intune
14,Document Management System (Worksite)
15,learning management system (LMS)
16,proficient in Excel
17,travel
18,pipeline management
19,CRM administration
20,regulatory knowledge
21,Outbound Methodology
22,commercial construction knowledge
23,Post Go-Live Planning
24,traveling
25,creative thinking
26,technology tools integration
27,Passion for Sales
28,project management
29,Self-Motivation
30,Trustworthiness
31,benefits design
32,client support orientation
33,and inclusion (DEI) programs
34,"""Masters Degree"""
35,ISO 27001
36,DNS
37,tier 1 support
38,Detail-minded
39,Data Recovery
40,Threat Intelligence
41,metadata management
42,Heterogeneous Systems
43,organization skills
44,Technical support
45,Windows Operating Systems
46,API Timekeeping
47,Pneumatic tubing systems
48,sales processes
49,outgoing
50,Recruiting and Hiring
51,solution architecture
52,deal-closing
53,performance reporting
54,aviation industry knowledge
55,recruitment strategies
56,Attention to detail
57,Spanish speaking
58,Budget Management
59,HR strategy development
60,Federal and State Employment Laws
61,SharePoint)
62,Counseling and Guidance
63,Outlook
64,Workday Testing
65,Policy Management
66,Governance frameworks
67,Reasoning Ability
68,Knowledgebase Articles
69,information security
70,financial services experience
71,PKI
72,data integration patterns
73,sales data analysis
74,IT services
75,solar energy knowledge
76,equity acquisition
77,Chart creation
78,action-oriented
79,entrepreneurial mentality
80,DCAA audits
81,detail oriented
82,communications strategy
83,product led growth selling
84,Travel Management
85,Google Earth
86,Proactive Problem Solving
87,strategic thinking
88,Organizational Effectiveness
89,bilingual skills
90,risk management
91,decisiveness
92,Slack
93,system upgrades
94,Integration Experience
95,Good interpersonal skills
96,Dashboards
97,business process optimization
98,System performance monitoring
99,data integrity validation
100,Hardware Asset Management (HAM)
101,MITRE ATT&CK framework
102,equine industry knowledge
103,Digital Marketing
104,Pipeline Campaign Development
105,remote team management
106,financial systems
107,financial statement preparation
108,general ledger reconciliation
109,data interpretation
110,presentation development
111,equipment finance
112,academic performance
113,reporting packages
114,Forecasting Methods
115,admission processes
116,entrepreneurial strategies
117,Enthusiasm for Ecommerce
118,Compliance reporting
119,training development
120,cultural awareness
121,Active Listening
122,bilingual in Spanish
123,digital modernization
124,Countermeasures Implementation
125,F5 VPN hardware/software
126,Audio-Visual Equipment Operation
127,Continuous Development
128,enterprise architecture
129,Data Security Best Practices
130,cloud services
131,Sakari Experience
132,Contract Lifecycle Management (CLM)
133,staffing solutions
134,Azure AD (Entra)
135,sales strategy
136,golf-related outside sales experience
137,Microsoft Office 360
138,consultation-based service
139,public relations
140,financial statement audits
141,analytical modeling
142,financial leadership
143,API
144,Financial Management Systems
145,"""Moodys Wall Street Analytics"""
146,contract development
147,virtual demonstrations
148,Background Checks
149,compensation practices
150,Offboarding
151,auditing data
152,documentation
153,Windows 10
154,query languages
155,Network Administration
156,MacOS Support
157,security monitoring
158,influencing skills
159,Android OS
160,"""Masters Degree in Computer Science"""
161,order processing
162,business case development
163,Contract Administration
164,Product Management
165,financial software
